question,answer,nhops,base_question,cypher,neo4j_response,evaluation,evaluation_error
who directed the films starred by [John Lloyd Fillingham],Stuart Hazeldine,2,who directed the films starred by [],"
MATCH (johnActor:`actor`)<-[:starred_actors]-(movie:`movie`) 
MATCH (movie:`movie`)-[:directed_by]->(director:`director`) 
WHERE toLower(johnActor.name)='john lloyd fillingham' 
RETURN director LIMIT 200
",[{'director': 'Stuart Hazeldine'}],matched,
which films have the same director of [Libel],The V.I.P.s|Orders to Kill|The Winslow Boy|The Browning Version,2,which films have the same director of [],"
MATCH (libelMovie:`movie`)-[:directed_by]->(director:`director`) 
MATCH (director:`director`)<-[:directed_by]-(otherMovie:`movie`) 
WHERE toLower(libelMovie.name)='libel' 
AND libelMovie <> otherMovie 
RETURN otherMovie LIMIT 200
","[{'otherMovie': 'The Browning Version'}, {'otherMovie': 'The Winslow Boy'}, {'otherMovie': 'The V.I.P.s'}, {'otherMovie': 'Orders to Kill'}]",matched,
who are the directors of the movies written by [William Robertson],Alex Zamm,2,who are the directors of the movies written by [],"
MATCH (williamWriter:`writer`)<-[:written_by]-(movie:`movie`) 
MATCH (movie:`movie`)-[:directed_by]->(director:`director`) 
WHERE toLower(williamWriter.name)='william robertson' 
RETURN director  
",[{'director': 'Alex Zamm'}],matched,
who is listed as screenwriter of [Carl Anderson] acted films,Norman Jewison|Tim Rice,2,who is listed as screenwriter of [] acted films,"
MATCH (carlActor:`actor`)<-[:starred_actors]-(movie:`movie`) 
MATCH (movie:`movie`)-[:written_by]->(screenwriter:`writer`) 
WHERE toLower(carlActor.name)='carl anderson' 
RETURN screenwriter LIMIT 200
","[{'screenwriter': 'Norman Jewison'}, {'screenwriter': 'Tim Rice'}]",matched,
what are the languages spoken in the films starred by [Antonella Attili],German|Italian,2,what are the languages spoken in the films starred by [],"
MATCH (antonellaActor:`actor`)<-[:starred_actors]-(movie:`movie`) 
MATCH (movie:`movie`)-[:in_language]->(language:`language`) 
WHERE toLower(antonellaActor.name)='antonella attili' 
RETURN language LIMIT 200
","[{'language': 'Italian'}, {'language': 'German'}]",matched,
what are the films that have the same actor of [Sunday],Shadow Magic|The Boxtrolls|The Quiet Ones|I Shot Andy Warhol|Igby Goes Down,2,what are the films that have the same actor of [],"
MATCH (sundayMovie:`movie`)-[:starred_actors]->(actor:`actor`) 
MATCH (actor:`actor`)<-[:starred_actors]-(otherMovie:`movie`) 
WHERE toLower(sundayMovie.name)='sunday' 
AND sundayMovie <> otherMovie 
RETURN otherMovie LIMIT 200
","[{'otherMovie': 'Igby Goes Down'}, {'otherMovie': 'Shadow Magic'}, {'otherMovie': 'The Quiet Ones'}, {'otherMovie': 'The Boxtrolls'}, {'otherMovie': 'I Shot Andy Warhol'}]",matched,
what were the release dates of [Maud Adams] acted films,1981,2,what were the release dates of [] acted films,"
MATCH (maudAdams:`actor`)<-[:starred_actors]-(movie:`movie`) 
MATCH (movie:`movie`)-[:release_year]->(year:`year`) 
WHERE toLower(maudAdams.name)='maud adams' 
RETURN movie.name as Movie, year.name as Release_Year LIMIT 200
","[{'Movie': 'Tattoo', 'Release_Year': '1981'}]",matched,
the screenwriter of [Madadayo] also wrote which movies,Seven Samurai|Last Man Standing|The Bad Sleep Well|Yojimbo|After the Rain|Throne of Blood|Rashomon|Rhapsody in August|Dersu Uzala|The Hidden Fortress|Kagemusha|Red Beard|Sanshiro Sugata|Dreams|Sanjuro|Ran|High and Low|The Quiet Duel|Runaway Train|Stray Dog|One Wonderful Sunday|Ikiru|Drunken Angel|Dodes'ka-den,2,the screenwriter of [] also wrote which movies,"
MATCH (madadayoMovie:`movie`)-[:written_by]->(screenwriter:`writer`) 
MATCH (screenwriter:`writer`)<-[:written_by]-(otherMovie:`movie`) 
WHERE toLower(madadayoMovie.name)='madadayo' 
AND madadayoMovie <> otherMovie 
RETURN otherMovie LIMIT 200
","[{'otherMovie': 'Last Man Standing'}, {'otherMovie': 'Seven Samurai'}, {'otherMovie': 'Kagemusha'}, {'otherMovie': 'Ran'}, {'otherMovie': 'Runaway Train'}, {'otherMovie': 'Ikiru'}, {'otherMovie': 'The Bad Sleep Well'}, {'otherMovie': 'Rashomon'}, {'otherMovie': 'After the Rain'}, {'otherMovie': 'Drunken Angel'}, {'otherMovie': 'Throne of Blood'}, {'otherMovie': 'Sanjuro'}, {'otherMovie': 'Sanshiro Sugata'}, {'otherMovie': 'One Wonderful Sunday'}, {'otherMovie': 'High and Low'}, {'otherMovie': ""Dodes'ka-den""}, {'otherMovie': 'The Quiet Duel'}, {'otherMovie': 'Rhapsody in August'}, {'otherMovie': 'Dersu Uzala'}, {'otherMovie': 'Stray Dog'}, {'otherMovie': 'Yojimbo'}, {'otherMovie': 'Dreams'}, {'otherMovie': 'Red Beard'}, {'otherMovie': 'The Hidden Fortress'}]",matched,
who are the directors of the movies acted by [Danielle Cormack],Paul Middleditch|John Polson|Harry Sinclair,2,who are the directors of the movies acted by [],"
MATCH (danielleActor:`actor`)<-[:starred_actors]-(movie:`movie`) 
MATCH (movie:`movie`)-[:directed_by]->(director:`director`) 
WHERE toLower(danielleActor.name)='danielle cormack' 
RETURN director LIMIT 200
","[{'director': 'Harry Sinclair'}, {'director': 'Paul Middleditch'}, {'director': 'John Polson'}]",matched,
who wrote the movies acted by [Kevin Bishop],Robert Louis Stevenson,2,who wrote the movies acted by [],"
MATCH (kevinActor:`actor`)<-[:starred_actors]-(movie:`movie`) 
MATCH (movie:`movie`)-[:written_by]->(writer:`writer`) 
WHERE toLower(kevinActor.name)='kevin bishop' 
RETURN writer LIMIT 200
",[{'writer': 'Robert Louis Stevenson'}],matched,
who are the actors in the movies written by [Sonia Chernus],Sondra Locke|Chief Dan George|Clint Eastwood,2,who are the actors in the movies written by [],"
MATCH (soniaWriter:`writer`)<-[:written_by]-(movie:`movie`) 
MATCH (movie:`movie`)-[:starred_actors]->(actor:`actor`) 
WHERE toLower(soniaWriter.name)='sonia chernus' 
RETURN actor LIMIT 200
","[{'actor': 'Chief Dan George'}, {'actor': 'Sondra Locke'}, {'actor': 'Clint Eastwood'}]",matched,
what are the genres of the films written by [Karl Mueller],Drama|Horror|Thriller,2,what are the genres of the films written by [],"
MATCH (karlWriter:`writer`)<-[:written_by]-(movie:`movie`) 
MATCH (movie:`movie`)-[:has_genre]->(genre:`genre`) 
WHERE toLower(karlWriter.name)='karl mueller' 
RETURN genre LIMIT 200
","[{'genre': 'Horror'}, {'genre': 'Drama'}, {'genre': 'Thriller'}]",matched,
the screenwriter [Kjell Aukrust] wrote films together with who,Ivo Caprino,2,the screenwriter [] wrote films together with who,"
MATCH (kjellWriter:`writer`)<-[:written_by]-(movie:`movie`) 
MATCH (movie:`movie`)-[:written_by]->(otherWriter:`writer`) 
WHERE toLower(kjellWriter.name)='kjell aukrust' 
AND kjellWriter <> otherWriter 
RETURN otherWriter  
",[{'otherWriter': 'Ivo Caprino'}],matched,
what genres are the movies written by [Frank Frazetta] in,Fantasy|Animation|Adventure,2,what genres are the movies written by [] in,"
MATCH (frankWriter:`writer`)<-[:written_by]-(movie:`movie`) 
MATCH (movie:`movie`)-[:has_genre]->(genre:`genre`) 
WHERE toLower(frankWriter.name)='frank frazetta' 
RETURN genre LIMIT 200
","[{'genre': 'Adventure'}, {'genre': 'Fantasy'}, {'genre': 'Animation'}]",matched,
the films directed by [James Isaac] starred which actors,Kane Hodder|Rhona Mitra|Elias Koteas|Jason Behr,2,the films directed by [] starred which actors,"
MATCH (jamesDirector:`director`)<-[:directed_by]-(movie:`movie`) 
MATCH (movie:`movie`)-[:starred_actors]->(actor:`actor`) 
WHERE toLower(jamesDirector.name)='james isaac' 
RETURN actor LIMIT 200
","[{'actor': 'Jason Behr'}, {'actor': 'Rhona Mitra'}, {'actor': 'Elias Koteas'}, {'actor': 'Kane Hodder'}]",matched,
what are the genres of the films starred by [Joseph Gilgun],Action,2,what are the genres of the films starred by [],"
MATCH (josephActor:`actor`)<-[:starred_actors]-(movie:`movie`) 
MATCH (movie:`movie`)-[:has_genre]->(genre:`genre`) 
WHERE toLower(josephActor.name)='joseph gilgun' 
RETURN genre LIMIT 200
",[{'genre': 'Action'}],matched,
who appeared in the same movie with [Harry Earles],Lon Chaney,2,who appeared in the same movie with [],"
MATCH (harry:`actor`)<-[:starred_actors]-(movie:`movie`) 
MATCH (movie:`movie`)-[:starred_actors]->(otherActor:`actor`) 
WHERE toLower(harry.name)='harry earles' 
AND harry <> otherActor 
RETURN otherActor  
",[{'otherActor': 'Lon Chaney'}],matched,
who starred movies for the writer [Javier Gullón],Jake Gyllenhaal|Mélanie Laurent|Isabella Rossellini|Sarah Gadon,2,who starred movies for the writer [],"
MATCH (javierWriter:`writer`)<-[:written_by]-(movie:`movie`) 
MATCH (movie:`movie`)-[:starred_actors]->(actor:`actor`) 
WHERE toLower(javierWriter.name)='javier gullón' 
RETURN actor LIMIT 200
","[{'actor': 'Sarah Gadon'}, {'actor': 'Isabella Rossellini'}, {'actor': 'Mélanie Laurent'}, {'actor': 'Jake Gyllenhaal'}]",matched,
when were the movies starred by [Rik Mayall] released,1991|1999,2,when were the movies starred by [] released,"
MATCH (rikActor:`actor`)<-[:starred_actors]-(movie:`movie`) 
MATCH (movie:`movie`)-[:release_year]->(year:`year`) 
WHERE toLower(rikActor.name)='rik mayall' 
RETURN movie.name, year LIMIT 200
","[{'movie.name': 'Guest House Paradiso', 'year': '1999'}, {'movie.name': 'Drop Dead Fred', 'year': '1991'}]",matched,
the movies starred by [Benjamin Christensen] were in which genres,Drama,2,the movies starred by [] were in which genres,"
MATCH (benjaminActor:`actor`)<-[:starred_actors]-(movie:`movie`) 
MATCH (movie:`movie`)-[:has_genre]->(genre:`genre`) 
WHERE toLower(benjaminActor.name)='benjamin christensen' 
RETURN genre LIMIT 200
",[{'genre': 'Drama'}],matched,
who acted in the movies directed by [Toby Wilkins],Jill Wagner|Shea Whigham|Matthew Knight|Paulo Costanzo|Shawnee Smith,2,who acted in the movies directed by [],"
MATCH (tobyDirector:`director`)<-[:directed_by]-(movie:`movie`) 
MATCH (movie:`movie`)-[:starred_actors]->(actor:`actor`) 
WHERE toLower(tobyDirector.name)='toby wilkins' 
RETURN actor LIMIT 200
","[{'actor': 'Jill Wagner'}, {'actor': 'Shea Whigham'}, {'actor': 'Paulo Costanzo'}, {'actor': 'Matthew Knight'}, {'actor': 'Shawnee Smith'}]",matched,
who starred in the films written by [Robert Aldrich],Jeff Chandler|Anita Ekberg|Harry Andrews|Ian Bannen|Frank Sinatra|Cliff Robertson|Ursula Andress|Michael Caine|Martine Carol|Dean Martin|Jack Palance,2,who starred in the films written by [],"
MATCH (robertWriter:`writer`)<-[:written_by]-(movie:`movie`) 
MATCH (movie:`movie`)-[:starred_actors]->(actor:`actor`) 
WHERE toLower(robertWriter.name)='robert aldrich' 
RETURN actor LIMIT 200
","[{'actor': 'Martine Carol'}, {'actor': 'Jeff Chandler'}, {'actor': 'Jack Palance'}, {'actor': 'Ian Bannen'}, {'actor': 'Harry Andrews'}, {'actor': 'Cliff Robertson'}, {'actor': 'Michael Caine'}, {'actor': 'Anita Ekberg'}, {'actor': 'Dean Martin'}, {'actor': 'Ursula Andress'}, {'actor': 'Frank Sinatra'}]",matched,
the actor [Kathleen Kinmont] acted together with who,Steve Railsback|Bruce Dinsmore|Michele Greene,2,the actor [] acted together with who,"
MATCH (kathleen:`actor`)<-[:starred_actors]-(movie:`movie`)-[:starred_actors]->(otherActor:`actor`) 
WHERE toLower(kathleen.name)='kathleen kinmont' 
AND kathleen <> otherActor 
RETURN otherActor LIMIT 200
","[{'otherActor': 'Bruce Dinsmore'}, {'otherActor': 'Michele Greene'}, {'otherActor': 'Steve Railsback'}]",matched,
the scriptwriter of [Picnic] also wrote which films,"Come Back, Little Sheba|Don't Bother to Knock|Storm Center|Splendor in the Grass|Désirée|All Fall Down|Bus Stop|The Dark at the Top of the Stairs",2,the scriptwriter of [] also wrote which films,"
MATCH (picnicMovie:`movie`)-[:written_by]->(writer:`writer`) 
MATCH (writer:`writer`)<-[:written_by]-(otherMovie:`movie`) 
WHERE toLower(picnicMovie.name)='picnic' 
AND picnicMovie <> otherMovie 
RETURN otherMovie LIMIT 200
","[{'otherMovie': 'All Fall Down'}, {'otherMovie': 'Come Back, Little Sheba'}, {'otherMovie': 'Splendor in the Grass'}, {'otherMovie': 'Bus Stop'}, {'otherMovie': 'The Dark at the Top of the Stairs'}, {'otherMovie': ""Don't Bother to Knock""}, {'otherMovie': 'Désirée'}, {'otherMovie': 'Storm Center'}]",matched,
which person wrote the films acted by [Kynaston Reeves],Amelia Reynolds Long,2,which person wrote the films acted by [],"
MATCH (kynastonActor:`actor`)<-[:starred_actors]-(movie:`movie`) 
MATCH (movie:`movie`)-[:written_by]->(writer:`writer`) 
WHERE toLower(kynastonActor.name)='kynaston reeves' 
RETURN writer LIMIT 200
",[{'writer': 'Amelia Reynolds Long'}],matched,
when were the movies written by [Evan Jones] released,1966|1971,2,when were the movies written by [] released,"
MATCH (evanWriter:`writer`)<-[:written_by]-(movie:`movie`) 
MATCH (movie:`movie`)-[:release_year]->(year:`year`) 
WHERE toLower(evanWriter.name)='evan jones' 
RETURN movie.name, year  
","[{'movie.name': 'Modesty Blaise', 'year': '1966'}, {'movie.name': 'Wake in Fright', 'year': '1971'}]",matched,
which person wrote the movies directed by [Ellen Spiro],Phil Donahue,2,which person wrote the movies directed by [],"
MATCH (ellenDirector:`director`)<-[:directed_by]-(movie:`movie`) 
MATCH (movie:`movie`)-[:written_by]->(writer:`writer`) 
WHERE toLower(ellenDirector.name)='ellen spiro' 
RETURN writer LIMIT 200
","[{'writer': 'Ellen Spiro'}, {'writer': 'Phil Donahue'}]",matched,
what types are the films written by [David Veloz],Drama,2,what types are the films written by [],"
MATCH (davidWriter:`writer`)<-[:written_by]-(movie:`movie`) 
MATCH (movie:`movie`)-[:has_genre]->(genre:`genre`) 
WHERE toLower(davidWriter.name)='david veloz' 
RETURN genre LIMIT 200
",[{'genre': 'Drama'}],matched,
what languages are the movies directed by [Maurice Pialat] in,French,2,what languages are the movies directed by [] in,"
MATCH (mauriceDirector:`director`)<-[:directed_by]-(movie:`movie`) 
MATCH (movie:`movie`)-[:in_language]->(language:`language`) 
WHERE toLower(mauriceDirector.name)='maurice pialat' 
RETURN language LIMIT 200
","[{'language': 'French'}, {'language': 'French'}, {'language': 'French'}, {'language': 'French'}, {'language': 'French'}]",matched,
what were the release years the films directed by [Abe Sylvia],2010,2,what were the release years the films directed by [],"
MATCH (abeDirector:`director`)<-[:directed_by]-(movie:`movie`) 
MATCH (movie:`movie`)-[:release_year]->(year:`year`) 
WHERE toLower(abeDirector.name)='abe sylvia' 
RETURN year LIMIT 200
",[{'year': '2010'}],matched,
what genres are the movies directed by [Paul Annett] in,Mystery|Horror,2,what genres are the movies directed by [] in,"
MATCH (paulDirector:`director`)<-[:directed_by]-(movie:`movie`) 
MATCH (movie:`movie`)-[:has_genre]->(genre:`genre`) 
WHERE toLower(paulDirector.name)='paul annett' 
RETURN genre LIMIT 200
","[{'genre': 'Horror'}, {'genre': 'Mystery'}]",matched,
what are the movies that are directed by the same director of [Thieves],The Girl on the Train|Rendez-vous|Alice and Martin|Strayed|Changing Times|Wild Reeds|The Witnesses|My Favorite Season|Barocco,2,what are the movies that are directed by the same director of [],"
MATCH (thievesMovie:`movie`)-[:directed_by]->(director:`director`) 
MATCH (director:`director`)<-[:directed_by]-(otherMovie:`movie`) 
WHERE toLower(thievesMovie.name)='thieves' 
AND thievesMovie <> otherMovie 
RETURN otherMovie LIMIT 200
","[{'otherMovie': 'Changing Times'}, {'otherMovie': 'Wild Reeds'}, {'otherMovie': 'Barocco'}, {'otherMovie': 'The Witnesses'}, {'otherMovie': 'Rendez-vous'}, {'otherMovie': 'Strayed'}, {'otherMovie': 'Alice and Martin'}, {'otherMovie': 'The Girl on the Train'}, {'otherMovie': 'My Favorite Season'}]",matched,
when did the films written by [Matthew Lewis] release,2011,2,when did the films written by [] release,"
MATCH (matthewWriter:`writer`)<-[:written_by]-(movie:`movie`) 
MATCH (movie:`movie`)-[:release_year]->(year:`year`) 
WHERE toLower(matthewWriter.name)='matthew lewis' 
RETURN movie.name, year LIMIT 200
","[{'movie.name': 'The Monk', 'year': '2011'}]",matched,
who wrote the screenplay for the movies starred by [Felicia Farr],John Paxton|Weldon Hill|Nelson Gidding,2,who wrote the screenplay for the movies starred by [],"
MATCH (feliciaActor:`actor`)<-[:starred_actors]-(movie:`movie`) 
MATCH (movie:`movie`)-[:written_by]->(screenplayWriter:`writer`) 
WHERE toLower(feliciaActor.name)='felicia farr' 
RETURN screenplayWriter LIMIT 200
","[{'screenplayWriter': 'John Paxton'}, {'screenplayWriter': 'Weldon Hill'}, {'screenplayWriter': 'Nelson Gidding'}]",matched,
the films acted by [Lucy] were written by who,Kelly Reichardt,2,the films acted by [] were written by who,"
MATCH (lucyActor:`actor`)<-[:starred_actors]-(movie:`movie`) 
MATCH (movie:`movie`)-[:written_by]->(writer:`writer`) 
WHERE toLower(lucyActor.name)='lucy' 
RETURN writer LIMIT 200
",[{'writer': 'Kelly Reichardt'}],matched,
who directed the movies written by [Lester Cole],Joe May|James Hill,2,who directed the movies written by [],"
MATCH (lesterWriter:`writer`)<-[:written_by]-(movie:`movie`) 
MATCH (movie:`movie`)-[:directed_by]->(director:`director`) 
WHERE toLower(lesterWriter.name)='lester cole' 
RETURN director LIMIT 200
","[{'director': 'Joe May'}, {'director': 'James Hill'}]",matched,
what are the main languages in [Anushka Sharma] starred movies,Hindi,2,what are the main languages in [] starred movies,"
MATCH (anushka:`actor`)<-[:starred_actors]-(movie:`movie`) 
MATCH (movie:`movie`)-[:in_language]->(language:`language`) 
WHERE toLower(anushka.name)='anushka sharma' 
RETURN language LIMIT 200
","[{'language': 'Hindi'}, {'language': 'Hindi'}]",matched,
what types are the movies written by [Cyril Rambour],Comedy|Crime,2,what types are the movies written by [],"
MATCH (cyrilWriter:`writer`)<-[:written_by]-(movie:`movie`) 
MATCH (movie:`movie`)-[:has_genre]->(genre:`genre`) 
WHERE toLower(cyrilWriter.name)='cyril rambour' 
RETURN genre LIMIT 200
","[{'genre': 'Comedy'}, {'genre': 'Crime'}]",matched,
the director of [Annie Hall] is also the director of which films,"Small Time Crooks|Manhattan Murder Mystery|Magic in the Moonlight|Broadway Danny Rose|Stardust Memories|New York Stories|Sleeper|Manhattan|Sweet and Lowdown|Anything Else|Hannah and Her Sisters|Zelig|You Will Meet a Tall Dark Stranger|Melinda and Melinda|The Curse of the Jade Scorpion|Shadows and Fog|What's Up, Tiger Lily?|Deconstructing Harry|Blue Jasmine|Interiors|Take the Money and Run|A Midsummer Night's Sex Comedy|Match Point|Celebrity|Love and Death|Alice|Whatever Works|Scoop|The Purple Rose of Cairo|To Rome with Love|Cassandra's Dream|Bananas|Hollywood Ending|Everyone Says I Love You|Radio Days|Midnight in Paris|Vicky Cristina Barcelona|September|Mighty Aphrodite|Don't Drink the Water|Another Woman|Husbands and Wives|Crimes and Misdemeanors",2,the director of [] is also the director of which films,"
MATCH (annieHall:`movie`)-[:directed_by]->(director:`director`) 
MATCH (director:`director`)<-[:directed_by]-(otherMovie:`movie`) 
WHERE toLower(annieHall.name)='annie hall' 
AND annieHall <> otherMovie 
RETURN otherMovie LIMIT 200
","[{'otherMovie': 'Shadows and Fog'}, {'otherMovie': 'New York Stories'}, {'otherMovie': 'Celebrity'}, {'otherMovie': 'Small Time Crooks'}, {'otherMovie': 'Match Point'}, {'otherMovie': 'Whatever Works'}, {'otherMovie': 'Alice'}, {'otherMovie': 'Stardust Memories'}, {'otherMovie': 'Broadway Danny Rose'}, {'otherMovie': 'September'}, {'otherMovie': 'Anything Else'}, {'otherMovie': 'Husbands and Wives'}, {'otherMovie': 'The Purple Rose of Cairo'}, {'otherMovie': 'Interiors'}, {'otherMovie': 'Deconstructing Harry'}, {'otherMovie': 'Scoop'}, {'otherMovie': 'Vicky Cristina Barcelona'}, {'otherMovie': 'Hollywood Ending'}, {'otherMovie': 'Midnight in Paris'}, {'otherMovie': 'Bananas'}, {'otherMovie': 'Love and Death'}, {'otherMovie': 'Crimes and Misdemeanors'}, {'otherMovie': 'Manhattan'}, {'otherMovie': 'Everyone Says I Love You'}, {'otherMovie': 'The Curse of the Jade Scorpion'}, {'otherMovie': 'Radio Days'}, {'otherMovie': 'To Rome with Love'}, {'otherMovie': 'Mighty Aphrodite'}, {'otherMovie': ""A Midsummer Night's Sex Comedy""}, {'otherMovie': 'Another Woman'}, {'otherMovie': ""What's Up, Tiger Lily?""}, {'otherMovie': 'Sweet and Lowdown'}, {'otherMovie': 'Melinda and Melinda'}, {'otherMovie': 'Manhattan Murder Mystery'}, {'otherMovie': 'Hannah and Her Sisters'}, {'otherMovie': 'You Will Meet a Tall Dark Stranger'}, {'otherMovie': 'Magic in the Moonlight'}, {'otherMovie': 'Blue Jasmine'}, {'otherMovie': ""Cassandra's Dream""}, {'otherMovie': ""Don't Drink the Water""}, {'otherMovie': 'Take the Money and Run'}, {'otherMovie': 'Zelig'}, {'otherMovie': 'Sleeper'}]",matched,
what genres do the movies acted by [Fredric March] fall under,Romance|Biography|Horror|Musical|Drama|Fantasy|Music|Adventure|Comedy|War|Thriller|Western,2,what genres do the movies acted by [] fall under,"
MATCH (fredricActor:`actor`)<-[:starred_actors]-(movie:`movie`) 
MATCH (movie:`movie`)-[:has_genre]->(genre:`genre`) 
WHERE toLower(fredricActor.name)='fredric march' 
RETURN genre LIMIT 200
","[{'genre': 'War'}, {'genre': 'Drama'}, {'genre': 'Western'}, {'genre': 'Musical'}, {'genre': 'Drama'}, {'genre': 'Adventure'}, {'genre': 'War'}, {'genre': 'Drama'}, {'genre': 'War'}, {'genre': 'Drama'}, {'genre': 'Romance'}, {'genre': 'Drama'}, {'genre': 'War'}, {'genre': 'Comedy'}, {'genre': 'Comedy'}, {'genre': 'Biography'}, {'genre': 'Fantasy'}, {'genre': 'Comedy'}, {'genre': 'Adventure'}, {'genre': 'Drama'}, {'genre': 'Thriller'}, {'genre': 'Music'}, {'genre': 'Musical'}, {'genre': 'Drama'}, {'genre': 'War'}, {'genre': 'Comedy'}, {'genre': 'Horror'}, {'genre': 'Drama'}]",matched,
who are the writers of the movies directed by [Jamie Blanks],Tom Savage,2,who are the writers of the movies directed by [],"
MATCH (jamieDirector:`director`)<-[:directed_by]-(movie:`movie`) 
MATCH (movie:`movie`)-[:written_by]->(writer:`writer`) 
WHERE toLower(jamieDirector.name)='jamie blanks' 
RETURN writer LIMIT 200
",[{'writer': 'Tom Savage'}],matched,
what types are the films starred by [Judy Geeson],Drama|Horror|Crime,2,what types are the films starred by [],"
MATCH (judyGeeson:`actor`)<-[:starred_actors]-(movie:`movie`) 
MATCH (movie:`movie`)-[:has_genre]->(genre:`genre`) 
WHERE toLower(judyGeeson.name)='judy geeson' 
RETURN genre LIMIT 200
","[{'genre': 'Horror'}, {'genre': 'Crime'}, {'genre': 'Drama'}]",matched,
what types are the films starred by actors in [The Gypsy Moths],Mystery|Romance|Short|Horror|Sport|Crime|Drama|Western|Action|Comedy|War|Thriller|Adventure,3,what types are the films starred by actors in [],"
MATCH (gypsyMovie:`movie`)-[:starred_actors]->(actor:`actor`) 
MATCH (actor:`actor`)<-[:starred_actors]-(otherMovie:`movie`) 
MATCH (otherMovie:`movie`)-[:has_genre]->(genre:`genre`) 
WHERE toLower(gypsyMovie.name)='the gypsy moths' 
RETURN DISTINCT genre LIMIT 200
","[{'genre': 'Thriller'}, {'genre': 'Drama'}, {'genre': 'Comedy'}, {'genre': 'Horror'}, {'genre': 'Crime'}, {'genre': 'Adventure'}, {'genre': 'Action'}, {'genre': 'War'}, {'genre': 'Short'}, {'genre': 'Western'}, {'genre': 'Sport'}, {'genre': 'Mystery'}, {'genre': 'Romance'}]",matched,
the movies that share actors with the movie [Indiana Jones and the Last Crusade] were in which languages,Irish|German|English|Japanese|French|Greek|Spanish|Russian|Italian,3,the movies that share actors with the movie [] were in which languages,"
MATCH (indianaMovie:`movie`)-[:starred_actors]->(actor:`actor`) 
MATCH (actor:`actor`)<-[:starred_actors]-(otherMovie:`movie`) 
MATCH (otherMovie:`movie`)-[:in_language]->(language:`language`) 
WHERE toLower(indianaMovie.name)='indiana jones and the last crusade' 
AND indianaMovie <> otherMovie 
RETURN language LIMIT 200
","[{'language': 'Spanish'}, {'language': 'French'}, {'language': 'French'}, {'language': 'Greek'}, {'language': 'Russian'}, {'language': 'English'}, {'language': 'English'}, {'language': 'Italian'}, {'language': 'Japanese'}, {'language': 'German'}, {'language': 'Irish'}, {'language': 'Irish'}]",matched,
who are the directors of the films written by the writer of [The Headless Woman],Lucrecia Martel,3,who are the directors of the films written by the writer of [],"
MATCH (headlessMovie:`movie`)-[:written_by]->(writer:`writer`) 
MATCH (writer:`writer`)<-[:written_by]-(otherMovie:`movie`) 
MATCH (otherMovie:`movie`)-[:directed_by]->(director:`director`) 
WHERE toLower(headlessMovie.name)='the headless woman' 
RETURN director LIMIT 200
","[{'director': 'Lucrecia Martel'}, {'director': 'Lucrecia Martel'}, {'director': 'Lucrecia Martel'}]",matched,
what were the release dates of films directed by the director of [Land of the Dead],1990|1993|1985|1982|1978|1981|1973|1988|2000|2007|2004|1968|2008|2009|2010,3,what were the release dates of films directed by the director of [],"
MATCH (landMovie:`movie`)-[:directed_by]->(director:`director`) 
MATCH (director:`director`)<-[:directed_by]-(otherMovie:`movie`) 
MATCH (otherMovie:`movie`)-[:release_year]->(year:`year`) 
WHERE toLower(landMovie.name)='land of the dead' 
RETURN otherMovie.name as Movie, year.name as Release_Year LIMIT 200
","[{'Movie': 'Diary of the Dead', 'Release_Year': '2007'}, {'Movie': 'Creepshow', 'Release_Year': '1982'}, {'Movie': 'The Dark Half', 'Release_Year': '1993'}, {'Movie': 'The Crazies', 'Release_Year': '1973'}, {'Movie': 'The Crazies', 'Release_Year': '2010'}, {'Movie': 'Dawn of the Dead', 'Release_Year': '1978'}, {'Movie': 'Dawn of the Dead', 'Release_Year': '2004'}, {'Movie': 'Monkey Shines', 'Release_Year': '1988'}, {'Movie': 'Survival of the Dead', 'Release_Year': '2009'}, {'Movie': 'Land of the Dead', 'Release_Year': '2005'}, {'Movie': 'Bruiser', 'Release_Year': '2000'}, {'Movie': 'Night of the Living Dead', 'Release_Year': '1968'}, {'Movie': 'Night of the Living Dead', 'Release_Year': '1990'}, {'Movie': 'Day of the Dead', 'Release_Year': '2008'}, {'Movie': 'Day of the Dead', 'Release_Year': '1985'}, {'Movie': 'Knightriders', 'Release_Year': '1981'}, {'Movie': 'Two Evil Eyes', 'Release_Year': '1990'}]",matched,
what types are the movies written by the screenwriter of [Earth Days],Drama|Documentary,3,what types are the movies written by the screenwriter of [],"
MATCH (earthDaysMovie:`movie`)-[:written_by]->(writer:`writer`) 
WHERE toLower(earthDaysMovie.name)='earth days' 
MATCH (writer:`writer`)<-[:written_by]-(otherMovie:`movie`) 
MATCH (otherMovie:`movie`)-[:has_genre]->(genre:`genre`) 
RETURN DISTINCT genre LIMIT 200
","[{'genre': 'Drama'}, {'genre': 'Documentary'}]",matched,
